bin,time_start,time_end,density_veh_per_mi,speed_mph,N_mainline,entered_downstream,flow_vph,density_bin
10,600.0,659.9,44.98533284345114,35.393272531027144,106.51166666666667,38,2280.0,40.0
11,660.0,719.9,43.970985985870385,32.52795830871342,104.11,30,1800.0,40.0
12,720.0,779.9,43.88088439130388,30.374444885094853,103.89666666666666,13,780.0,40.0
13,780.0,839.9,46.63461437524275,34.188063773925776,110.41666666666667,27,1620.0,50.0
14,840.0,899.9,45.86945474013499,31.25400166192419,108.605,31,1860.0000000000002,50.0
15,900.0,959.9,46.07640684015493,30.579282917524814,109.095,15,900.0,50.0
16,960.0,1019.9,48.012887204627276,33.67368841759923,113.68,28,1680.0,50.0
17,1020.0,1079.9,46.78877257219638,30.8207394550814,110.78166666666667,27,1620.0,50.0
18,1080.0,1139.9,47.30122539129338,30.375956800211796,111.995,19,1140.0,50.0
19,1140.0,1199.9,48.67738646455526,31.92537416674255,115.25333333333333,27,1620.0,50.0
20,1200.0,1259.9,48.65908457815894,30.02570479436473,115.21,23,1380.0,50.0
21,1260.0,1319.9,49.18772752752962,29.882406838452255,116.46166666666667,24,1440.0,50.0
22,1320.0,1379.9,49.12296700643494,32.11445849458534,116.30833333333334,27,1620.0,50.0
23,1380.0,1439.9,48.53026745467714,30.385013840244756,114.905,25,1500.0,50.0
24,1440.0,1499.9,49.0919945833027,29.744296234563027,116.235,20,1200.0,50.0
25,1500.0,1559.9,51.11716870492645,32.833895701809276,121.03,32,1920.0,50.0
26,1560.0,1619.9,49.79098585990069,28.783729785310914,117.89,21,1260.0,50.0
27,1620.0,1679.9,52.05619626079927,28.020879931404984,123.25333333333333,23,1380.0,50.0
28,1680.0,1739.9,52.34621076831021,31.109486589969208,123.94,30,1800.0,50.0
29,1740.0,1799.9,50.78914258720776,28.369342714795167,120.25333333333333,22,1320.0,50.0
30,1800.0,1859.9,52.10406273291272,28.4693284370102,123.36666666666666,23,1380.0,50.0
31,1860.0,1919.9,51.98932398358193,31.165600852859285,123.095,29,1740.0,50.0
32,1920.0,1979.9,51.322009048823745,28.759953625709628,121.515,27,1620.0,50.0
33,1980.0,2039.9,50.95385956477466,28.82555136378903,120.64333333333333,18,1080.0,50.0
34,2040.0,2099.9,52.18642122169617,31.03584781320728,123.56166666666667,32,1920.0,50.0
35,2100.0,2159.9,51.83305403050565,29.295652210670315,122.725,25,1500.0,50.0
36,2160.0,2219.9,51.36142849644659,28.30491158020834,121.60833333333333,19,1140.0,50.0
37,2220.0,2279.9,52.96425139353984,29.742463318895947,125.40333333333334,30,1800.0,50.0
38,2280.0,2339.9,53.24370712043752,30.043006366490182,126.065,28,1680.0,50.0
39,2340.0,2399.9,51.30511499984252,28.717714925830798,121.475,20,1200.0,50.0
40,2400.0,2459.9,51.590905995108166,31.756440285041243,122.15166666666667,34,2040.0,50.0
41,2460.0,2519.9,49.33343869999264,29.42912754161845,116.80666666666667,19,1140.0,50.0
42,2520.0,2579.9,51.491653457343496,30.518801538055722,121.91666666666667,28,1680.0,50.0
43,2580.0,2639.9,49.474926360210354,32.85636984772044,117.14166666666667,30,1800.0,50.0
44,2640.0,2699.9,47.96572465122137,30.538998107689324,113.56833333333333,23,1380.0,50.0
45,2700.0,2759.9,49.074396615613935,30.04353760122129,116.19333333333333,22,1320.0,50.0
46,2760.0,2819.9,49.87545610480678,32.81738659520184,118.09,31,1860.0000000000002,50.0
47,2820.0,2879.9,48.71328631864036,30.536018022636483,115.33833333333334,21,1260.0,50.0
48,2880.0,2939.9,49.76705262384395,29.86666216058669,117.83333333333333,27,1620.0,50.0
49,2940.0,2999.9,48.42608748595961,32.8315226649079,114.65833333333333,28,1680.0,50.0
50,3000.0,3059.9,48.528155698554485,29.882853550518103,114.9,26,1560.0,50.0
51,3060.0,3119.9,48.19801782471315,30.67430969835187,114.11833333333334,17,1020.0,50.0
52,3120.0,3179.9,49.74593506261743,32.990199421737664,117.78333333333333,35,2100.0,50.0
53,3180.0,3239.9,47.74750985188061,31.42148801590179,113.05166666666666,23,1380.0,50.0
54,3240.0,3299.9,47.395550498105194,31.234701399958038,112.21833333333333,21,1260.0,50.0
55,3300.0,3359.9,47.928416959721176,33.54539476275301,113.48,31,1860.0000000000002,50.0
56,3360.0,3419.9,46.87042714227228,30.67756574535199,110.975,24,1440.0,50.0
57,3420.0,3479.9,47.19845325999096,29.304045755299867,111.75166666666667,19,1140.0,50.0
58,3480.0,3539.9,48.652749309790984,34.844318719322025,115.195,28,1680.0,50.0
59,3540.0,3599.9,47.89110926822098,32.45801262244631,113.39166666666667,34,2040.0,50.0
60,3600.0,3659.9,45.48933863805754,31.41971201589875,107.705,19,1140.0,50.0
61,3660.0,3719.9,46.600122358572754,33.56294204995241,110.335,26,1560.0,50.0
62,3720.0,3779.9,47.0689322178016,31.22935473078726,111.445,24,1440.0,50.0
63,3780.0,3839.9,48.04526746517461,30.975729829325065,113.75666666666666,23,1380.0,50.0
64,3840.0,3899.9,47.717241347455925,33.46927513543512,112.98,29,1740.0,50.0
65,3900.0,3959.9,46.73597866913006,31.108041193545827,110.65666666666667,26,1560.0,50.0
66,3960.0,4019.9,47.63840245221023,31.223783664623763,112.79333333333334,19,1140.0,50.0
67,4020.0,4079.9,48.78438210810299,34.683943196288794,115.50666666666666,32,1920.0,50.0
68,4080.0,4139.9,46.80566662117759,31.704069475974944,110.82166666666667,24,1440.0,50.0
69,4140.0,4199.9,46.73316299429986,31.747086317666962,110.65,22,1320.0,50.0
70,4200.0,4259.9,47.09568112868854,35.04737064359144,111.50833333333334,31,1860.0000000000002,50.0
71,4260.0,4319.9,45.85256069115376,32.77606039453815,108.565,30,1800.0,50.0
72,4320.0,4379.9,45.982785652050666,31.090251804701015,108.87333333333333,16,960.0,50.0
73,4380.0,4439.9,48.06216151415583,33.976523041101835,113.79666666666667,31,1860.0000000000002,50.0
74,4440.0,4499.9,46.347415542562,31.24487897446817,109.73666666666666,23,1380.0,50.0
75,4500.0,4559.9,47.46875804369048,32.279416354166166,112.39166666666667,22,1320.0,50.0
76,4560.0,4619.9,48.568982983592434,33.343003604576744,114.99666666666667,29,1740.0,50.0
77,4620.0,4679.9,48.17478850736397,31.355493986071384,114.06333333333333,27,1620.0,50.0
78,4680.0,4739.9,47.50113830423782,31.293848647409202,112.46833333333333,19,1140.0,50.0
79,4740.0,4799.9,47.606022191662895,34.87062115822396,112.71666666666667,33,1980.0000000000002,50.0
80,4800.0,4859.9,45.716704380596454,32.69383351917599,108.24333333333334,27,1620.0,50.0
81,4860.0,4919.9,45.301392343141465,32.455745511811436,107.26,22,1320.0,50.0
82,4920.0,4979.9,46.113010612947576,34.22268568568026,109.18166666666667,27,1620.0,50.0
83,4980.0,5039.9,44.962103526101956,32.6369344532329,106.45666666666666,25,1500.0,40.0
84,5040.0,5099.9,45.384454750632464,33.173788081550576,107.45666666666666,24,1440.0,50.0
85,5100.0,5159.9,45.17961440673517,35.403167163167566,106.97166666666666,27,1620.0,50.0
86,5160.0,5219.9,45.01137783563052,33.17965264247565,106.57333333333334,27,1620.0,50.0
87,5220.0,5279.9,44.85651571996934,33.1709968246851,106.20666666666666,19,1140.0,40.0
88,5280.0,5339.9,45.47807593873672,35.99418541140307,107.67833333333333,32,1920.0,50.0
89,5340.0,5399.9,43.92100775763428,33.83113995765369,103.99166666666666,28,1680.0,40.0
90,5400.0,5459.9,43.83653751272818,32.48480382405219,103.79166666666667,18,1080.0,40.0
91,5460.0,5519.9,45.44710351560448,34.81107164135758,107.605,28,1680.0,50.0
92,5520.0,5579.9,45.07050700706479,32.82993638506881,106.71333333333334,26,1560.0,50.0
93,5580.0,5639.9,44.487662317212695,32.0618266030845,105.33333333333333,20,1200.0,40.0
94,5640.0,5699.9,45.924360399323945,34.77513407343221,108.735,28,1680.0,50.0
95,5700.0,5759.9,45.674469258143404,32.00920987123921,108.14333333333333,27,1620.0,50.0
96,5760.0,5819.9,46.06373630341901,30.35155361464723,109.065,17,1020.0,50.0
97,5820.0,5879.9,47.97698735054219,34.72326392686156,113.595,31,1860.0000000000002,50.0
98,5880.0,5939.9,45.95885241599394,32.34946571566795,108.81666666666666,27,1620.0,50.0
99,5940.0,5999.9,45.81243732482337,31.377025251724202,108.47,16,960.0,50.0
